Artists,Venue,Date,Time,Price,Tickets,Link,Presents,Description,LastUpdated,Scraped,Cancelled,CancelledText,CancelledLink,Image1,Image2
Frankie Heart,The Royal,2023-03-03,21:00,Free,,https://www.facebook.com/frankieheartofficial/posts/pfbid02YXwNSAYTGRNJqiupBeWLLgcDB9ecARGMNf87iF5vJhiAzw31nvbeoXoEdtk22V8ol,,Northern Soul & Motown Singer,2023-02-24,,,,,,
Fay and Latta,The Villager Pub,2023-02-24,20:30,Free,,https://www.facebook.com/events/919247519070240/,,We'll be playing 2 x 1 hour sets of acoustic covers as you sip your pints and start your weekend. Invite your friends and come along to see us LIVE in Wilsden.,2023-02-24,,,,,,
Eddie Earthquake and the Tremors,,2024-03-30,19:30,Free,,https://www.facebook.com/photo?fbid=878437710956329&set=a.476387631161344,,,2024-01-30,,,,,,
Dougie MacLean,Cullingworth Village Hall,2024-05-18,19:00,£25,https://www.eventbrite.co.uk/e/dougie-maclean-at-cullingworth-village-hall-tickets-716996655297,https://www.facebook.com/CullingworthVillageHall/posts/pfbid0gfkpf7cEnwyEaykpUGqNBC56XFPGCC3tH3qQQS7zRPVzyJF2mNG2fobHHcn7J8kdl,,Scotland's pre-eminent singer-songwriter and a national musical treasure will be in Cullingworth celebrating 50 years of making music.,2024-05-10,,,,,,
The Wild Geese,St Michael's Church,2024-06-08,18:00,"Adults £10, Children £5, FamilyTicket £25",,,,"Summer ceilidh with the internationally famous band. Dancing, singing, and a light supper. ",2024-05-10,,,,,,
Eldwick & Gilstead Gala 2024,Eldwick Recreation Ground,2024-06-29,Afternoon,Free,,https://www.facebook.com/events/368165432592274?locale=en_GB,,"Annual Gala event with music, events, a fell race, andmuch more.",2024-05-13,,,,,,
Bingley Mini-Fest,Bradford And Bingley Rugby Club,2024-05-25,12 - 9pm,Free,,https://bingleymusictown.org.uk/challenge2024,,Live bands all day. The Rugby Club has saved the day to provide a place for some of the bands to play after Challenge Festival was  cancelled. ,2024-05-22,,,,,,
Bingley Mini-Fest,Bradford And Bingley Rugby Club,2024-05-26,12 - 8pm,Free,,https://bingleymusictown.org.uk/challenge2024,,Live bands all day. The Rugby Club has saved the day to provide a place for some of the bands to play after Challenge Festival was cancelled.,2024-05-22,,,,,,
Challenge Festival,Myrtle Park,2024-05-25,12 - 9pm,Free,,https://bingleymusictown.org.uk/challenge2024,,"Bingley's Premier Music Extravaganza! Get ready for an unforgettable weekend of music, food, and fun as we bring the ultimate celebration to Bingley on May 24-26, 2024.",2024-05-22,,1,The main event has been cancelled. Read the [announcement in the T&A](https://www.thetelegraphandargus.co.uk/news/24336257.challenge-festival-myrtle-park-bingley-cancelled/),,,
Challenge Festival,Myrtle Park,2024-05-26,12 - 9pm,Free,,https://bingleymusictown.org.uk/challenge2024,,"Bingley's Premier Music Extravaganza! Get ready for an unforgettable weekend of music, food, and fun as we bring the ultimate celebration to Bingley on May 24-26, 2024.",2024-05-22,,1,The main event has been cancelled. Read the [announcement in the T&A](https://www.thetelegraphandargus.co.uk/news/24336257.challenge-festival-myrtle-park-bingley-cancelled/),,,
Bingley Rocks,Bradford And Bingley Rugby Club,2024-08-30,TBC,Various Options,https://www.beescamping.co.uk/book-tickets/,https://www.facebook.com/events/903144414899224,,"A weekend Rock Festival at the Rugby Club with camping avialable. Kiss, Iron Maiden, Ghost tribute acts, and more",2024-05-22,,,,,,
Bingley Rocks,Bradford And Bingley Rugby Club,2024-08-31,TBC,Various Options,https://www.beescamping.co.uk/book-tickets/,https://www.facebook.com/events/903144414899224,,"A weekend Rock Festival at the Rugby Club with camping avialable. Foo Fighters, U2, Alanis Morrisette tributes, and more.",2024-05-22,,,,,,
Cornell Daley,Martinez Bingley Wine Shop & Wine Bar,2024-05-29,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid05QbABsKR3NjWF8UCsNpAc5yfb19CSn5Nf5T182B8HfKST2y1iupcV6tR6g3Tygaal,,"Blues every Wednesday at Martinez. Tonight sees the return of local talent Cornell Daley who is always a popular attraction. Live from 7.30pm, free entry.",2024-04-29,,,,,,
Melosa Jazz,Myrtle Park,2024-08-25,12 - 2pm,Free,,https://www.facebook.com/bingleymusictown/posts/pfbid02LLzr4aB9CXFJV6pXSJkZ7MA2GP59no1uMDhaQJ2rucNCvHrzXcp8QKeCAE5u8Zfbl,,Jazz in the park. Bring a picnic and hope for sunshine!,2024-08-19,,1,Cancelled due to a poor weather forecast in the run up to the event.,,,
Bingley Rocks,Bradford And Bingley Rugby Club,2024-09-01,TBC,Various Options,https://www.beescamping.co.uk/book-tickets/,https://www.facebook.com/events/903144414899224,,"A weekend Rock Festival at the Rugby Club with camping avialable. Oasis, Fleetwood Mac, Ed Sheeran tributes, and more.",2024-05-22,,,,,,
Sounds In Town 2,St Saviour's Church,2024-10-04,19:00 - 21:00,Free,,https://www.facebook.com/events/775148254653021,,"FREE public entry to this acoustic open-mic style musical evening featuring a varied group of amateur local performers. Ten minute spots, FREE hot beverage refreshments with cake.",2024-10-04,,,,,,
Christopher Crompton,Ryshworth Club,2024-10-07,19:00,Free. Raffle and collection for the artists.,,https://www.facebook.com/events/837435158549726,,"Christopher Crompton is a singer-songwriter, guitarist, writer and poet from the West Midlands. 
""Taking the USA by storm... definitely worth checking out!""
 – Hard Rock Cafe, Pigeon Forge, Tennessee",2024-10-06,,,,,,
Playing For Kicks,The Brown Cow,2024-11-16,20:30,Free,,https://www.facebook.com/events/871859154894802,,"Playing For Kicks are returning to The Brown Cow at short notice, with their eclectic set of feel-good hits from the last 6 decades. What a great way to kick off the festive season!",2024-10-09,,,,,,
Calm Before The Storm,Martinez Bingley Wine Shop & Wine Bar,2024-10-09,19:30,Free,,https://www.facebook.com/events/s/calm-before-the-storm-martinez/24522412144070136/,,Calm Before The Storm the acoustic duo featuring Stan Greenwood & Gary Kaye return to Martinez Wine Bar - Bingley on Wednesday 09 October 2024,2024-10-09,,,,,,
Julian Sorcha,Martinez Bingley Wine Shop & Wine Bar,2024-12-04,19:30,Free,,,,,2024-11-25,,,,,,
Wilson,Martinez Bingley Wine Shop & Wine Bar,2024-12-11,19:30,Free,,https://www.wilsonmusicuk.com/,,"Wilson is an acoustic guitarist; singer and songwriter from West Yorkshire, UK. He formed heavy rock band 'Down The Machine' in 2009, and signed with Ambicon Records in 2010, they played numerous gigs and festivals, including Leeds Festival 2011 and Bingley Festival in 2012.",2024-11-25,,,,,,
Jake Keating,Martinez Bingley Wine Shop & Wine Bar,2024-12-18,19:30,Free,,,,,2024-11-25,,,,,,
Cornell Daley,Martinez Bingley Wine Shop & Wine Bar,2025-01-08,19:30,Free,,,,,2024-11-25,,,,,,
Diamond Dac,Martinez Bingley Wine Shop & Wine Bar,2025-01-15,19:30,Free,,,,,2024-11-25,,,,,,
Suitcase Rags,Martinez Bingley Wine Shop & Wine Bar,2025-01-22,19:30,Free,,,,,2024-11-25,,,,,,
Nick Shaw,Martinez Bingley Wine Shop & Wine Bar,2025-01-29,19:30,Free,,,,,2024-11-25,,,,,,
Scott Wainwright,Martinez Bingley Wine Shop & Wine Bar,2025-02-05,19:30,Free,,,,,2024-11-25,,,,,,
Cooper Brown,Martinez Bingley Wine Shop & Wine Bar,2025-02-12,19:30,Free,,,,,2024-11-25,,,,,,
Julian Sorcha,Martinez Bingley Wine Shop & Wine Bar,2025-02-19,19:30,Free,,,,,2024-11-25,,,,,,
Sean O'Connor,Martinez Bingley Wine Shop & Wine Bar,2025-02-26,19:30,Free,,,,,2024-11-25,,,,,,
Stan Greenwood,Martinez Bingley Wine Shop & Wine Bar,2025-03-05,19:30,Free,,,,,2024-11-25,,,,,,
Wilson,Martinez Bingley Wine Shop & Wine Bar,2025-03-12,19:30,Free,,,,,2024-11-25,,,,,,
Jake Keating,Martinez Bingley Wine Shop & Wine Bar,2025-03-19,19:30,Free,,,,,2024-11-25,,,,,,
Dogfinger Steve,Martinez Bingley Wine Shop & Wine Bar,2025-03-26,19:30,Free,,,,,2024-11-25,,,,,,
Brandon Symonds,Martinez Bingley Wine Shop & Wine Bar,2025-04-02,19:30,Free,,,,,2024-11-25,,,,,,
Darren Ellis,Martinez Bingley Wine Shop & Wine Bar,2025-04-09,19:30,Free,,,,,2024-11-25,,,,,,
Nigel Rae,Martinez Bingley Wine Shop & Wine Bar,2025-04-16,19:30,Free,,,,,2024-11-25,,,,,,
Howlin Mat,Martinez Bingley Wine Shop & Wine Bar,2025-04-23,19:30,Free,,,,,2024-11-25,,,,,,
Colour of light,Martinez Bingley Wine Shop & Wine Bar,2025-04-30,19:30,Free,,,,,2024-11-25,,,,,,
Charlie and Sam,Martinez Bingley Wine Shop & Wine Bar,2025-05-07,19:30,Free,,,,,2024-11-25,,,,,,
CC Easy,Martinez Bingley Wine Shop & Wine Bar,2025-05-14,19:30,Free,,,,,2024-11-25,,,,,,
Johnny Gow from Howlin Johnny and the devils rejects,Martinez Bingley Wine Shop & Wine Bar,2025-05-21,19:30,Free,,,,,2024-11-25,,,,,,
Kathryn Longbottom,Martinez Bingley Wine Shop & Wine Bar,2025-05-28,19:30,Free,,,,,2024-11-25,,,,,,
Julian Sorcha,Martinez Bingley Wine Shop & Wine Bar,2025-06-04,19:30,Free,,,,,2024-11-25,,,,,,
Wilson,Martinez Bingley Wine Shop & Wine Bar,2025-06-11,19:30,Free,,,,,2024-11-25,,,,,,
Ben Blue Waters,Martinez Bingley Wine Shop & Wine Bar,2025-06-18,19:30,Free,,,,,2024-11-25,,,,,,
Vincent O'Brien,Martinez Bingley Wine Shop & Wine Bar,2025-06-25,19:30,Free,,,,,2024-11-25,,,,,,
Stan Greenwood,Martinez Bingley Wine Shop & Wine Bar,2025-07-02,19:30,Free,,,,,2024-11-25,,,,,,
Dori and the Driver,Martinez Bingley Wine Shop & Wine Bar,2025-07-09,19:30,Free,,,,,2024-11-25,,,,,,
TBC,Martinez Bingley Wine Shop & Wine Bar,2025-07-16,19:30,Free,,,,,2024-11-25,,,,,,
Mike Burtoft,Martinez Bingley Wine Shop & Wine Bar,2025-07-23,19:30,Free,,,,,2024-11-25,,,,,,
Bingley Music School Guitar Ensemble,Damart 1871 Restaurant,2024-12-07,11:30,Free,,https://www.facebook.com/BingleyCreates/posts/pfbid0k4LuHR4YXcVja6VsW99N7TGUwCjqG4wWoBxfomjC6a5Aei9PU2NUDmZ3Cpq53iVJl,,Part of the Bingley Creates Christmas market,2024-12-07,,,,,,
Bingley Handbell Ringers,Damart 1871 Restaurant,2024-12-07,13:30,Free,,https://www.facebook.com/BingleyCreates/posts/pfbid0k4LuHR4YXcVja6VsW99N7TGUwCjqG4wWoBxfomjC6a5Aei9PU2NUDmZ3Cpq53iVJl,,Part of the Bingley Creates Christmas market,2024-12-07,,,,,,
Festive Music Sing-a-long,Woodbank Garden Centre & Nurseries,2024-12-07,12:30 - 15:30,Free,,https://www.facebook.com/events/8793790370712107/,,"Bradford Accordion Band will be making their annual festive visit to Woodbank Nurseries in Harden. Enjoy some seasonal background music as you shop for Christmas gifts, trees and decorations. Plus, there will be a chance to join our every-GROWING Christmas BAB-Choir for lots of festive community singing with no need to attend any rehearsals! Bucket collection for Manorlands, and an ACCORDION in a pear tree....TREE!",2024-12-07,,,,,,
Laura,Malt Shovel,2024-12-21,19:30,Free,,https://www.facebook.com/themaltshovelharden/posts/pfbid02srNSCoFB45fr1cyjmSVsFVwKrmntC5jAJx2Rrf3drdwyLoze6d4gJ7j3DrYF4uM6l,,"Ladies and gentlemen, The Malt would like to announce the very last live singer of 2024!! LAURA is going to be delivering a show stopping performance this Saturday to get everyone into the cheerful Christmas spirit!",2024-12-19,,,,,,
Sharon Lawlor,The Brown Cow,2024-12-21,20:30,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0DT2jwNgiYh6bX5SGBCJk9fvqMB2WqmWBuhyAseawgXgRiKgVZ1DxQDbhcVQG2X2jl?locale=en_GB,,We’ve the absolutely amazing Sharon Lawlor performing live from 8.30/9pm to dazzle you all with her vocal talents & Irish charm! An absolute must see!,2024-12-19,,,,,,
Christmas Music at the Library,Bingley Library,2024-12-19,9:30 - 15:00,Free,,https://www.facebook.com/bingleymusictown/posts/pfbid0mg42h4rnWC9aP6hshn721SvSMqJ4uGYPoUcfXo4AKjnxFex5iGoCWEwkCCYp7yPnl?locale=en_GB,,"Festive music from local primary schools, and other local musicians throughout the day. Come along to watch and/or to join in.",2024-12-19,,,,,,
"Billy Billy 5P,Gurgles",Ryshworth Club,2025-01-17,19:30,Pay What You Feel,,https://www.facebook.com/events/1530224024339636,,Rumble Up The Ryshworth #1. We're kicking off 2025 in some style with the awesome Gurgles (Home-grown Synth Pop shenanigans from Saltaire) & the incredible Billy Billy 5P (Internationally unsuccessful Pop Rock behemoth from Bingley & Cumbria & Australia),2025-01-27,,,,,gurgles.jpg,BillyBilly5p.jpg
"Forming,Queer Of Hearts",Ryshworth Club,2025-02-21,19:30,Pay What You Feel,,,,"Rumble up the Ryshworth - a series of gigs by independent artists with an alternative outlook. EVERY THIRD FRIDAY of the month, so save those dates. Pay What You Feel - all money goes to the artists.",2025-01-27,,,,,forming.jpg,queerofhearts.jpg
"Gevaudan Dogs,Echo Machine One",Ryshworth Club,2025-03-21,19:30,Pay What You Feel,,https://www.facebook.com/events/598686349423525,,"Rumble up the Ryshworth - a series of gigs by independent artists with an alternative outlook. Bradford bands Gevaudan Dogs and Echo Machine One are headed over to bring you a bit of punk and some dreamy post-punk agitprop respectively.
Pay What You Feel - all money goes to the artists.
Help us build a scene, and support a local venue.
Bands finish in time for you to get the last train/bus back to #saltaire, #shipley #leeds, #bradford, #keighley, #skipton
Music and conversation continues until close.
EVERY THIRD FRIDAY of the month, so save those dates. Pay What You Feel - all money goes to the artists.",2025-03-19,,,,,gevaudandogs.jpg,echoone.jpg
"Ladies Nite,Flash Cassette,Big Beef",Ryshworth Club,2025-04-18,19:00,Pay What You Feel,,https://www.facebook.com/events/996616275625099,,"More live music on your Bingley Crossflatts doorstep.

Ladies Nite - Leeds Electropop band consisting of Martha and Mary (formerly of Executive Legs and Pifco) and Stu, master of visual wizardry and projection.

Flash Cassette - Electronic Disco sounds from West Yorkshire. Sitting somewhere between Funkadelic & SEGA Megadrive.

Big Beef - Young indie covers band from Bingley

Rumble Up The Ryshworth is a series of gigs by independent artists with an alternative outlook. 
EVERY THIRD FRIDAY of the month, so save those dates. 
Pay What You Feel - all money goes to the artists.
Help us build a scene, and support a local venue.
Bands finish in time for you to get the last train/bus back to #saltaire, #shipley #leeds, #bradford, #keighley, #skipton

Music and conversation continues until close.",2025-03-26,,,,,ladies-nite.jpg,flash.jpg
"Mammoth Tank,Beep Beep Argh",Ryshworth Club,2025-05-16,19:30,Pay What You Feel,,https://www.facebook.com/events/3338580399607349,,"Rumble up the Ryshworth - a series of gigs by independent artists with an alternative outlook. EVERY THIRD FRIDAY of the month, so save those dates. Pay What You Feel - all money goes to the artists.",2025-03-19,,,,,mamothtank.jpg,beepbeepargh.jpg
"Gilank,Hexama",Ryshworth Club,2025-06-20,19:30,Pay What You Feel,,https://www.facebook.com/events/2942172269287197,,"Rumble up the Ryshworth - a series of gigs by independent artists with an alternative outlook. EVERY THIRD FRIDAY of the month, so save those dates. Pay What You Feel - all money goes to the artists.",2025-03-19,,,,,gilank.jpg,hexema.jpg
Skinner & T’witch,Ryshworth Club,2025-02-04,19:30,Free,,https://www.facebook.com/events/648020920519120,,First Monday Folk is a little folk club held on the first Monday evening of each month.,2025-01-08,,,,,,
Three Chord Max,Cottingley Town Hall Church,2025-02-01,14:00,Free / Donations,,https://www.facebook.com/bingleymusictown/posts/pfbid07xNFfLe5EapWG3riVZP3zFTgVnvvuRA1chL2pHcgjbpGy4cAyyfyVrBmzYsLDgfUl,,Music and tasty treats to rasie money for the upkeep of the building. ,2025-01-08,,,,,,
Floyd In The Flesh,All Saints Parish Church,2025-02-07,18:00,£20 +£1 booking fee,https://www.tickettailor.com/events/allsaintschurch1/1442108,https://www.facebook.com/events/1062017758454383/,,Floyd in the Flesh are back here for the 4th year in succession to play their amazing music replicating the sights and sounds of Pink Floyd.,2025-01-22,,,,,,
BMT Birthday Bash,Ryshworth Club,2025-02-28,19:00,Free,,https://www.facebook.com/events/1586365486098234,,"As Bingley Music Town celebrates it's second birthday, join us as we look forward to more to come in the rest of 2025. There will be good company, good music, and good cake. We've met literally hundreds of people in the last couple of years who are all passionate about music, love this area, and want to make things happen, so this a chance to get a bunch of you all together in the same place at the same time. Free entry, open to friends, supporters, members and non-members, and anyone else that's interested.",2025-02-15,,,,,,
"The Scaramanga Six,The Carol Hodge Band",Ryshworth Club,2025-11-21,19:30,Pay What You Feel,,https://www.facebook.com/events/591457933761715,,"Rumble up the Ryshworth - A stunning line-up of live music on your Bingley Crossflatts doorstep.<br>The Scaramanga Six play a tuneful and carefully arranged mixture of heavy rock, vocal pop, rockabilly, garage and crooner songs described as ""intense-yet-aloof rock operas"" (Drowned In Sound) and ""B-movie chic combined with real musical muscle"" (Kerrang).<br>The Carol Hodge Band were recently described by Classic Rock as ""combin(ing) fat, fuzzy guitar grooves with splashes of synths...clever pop rock bursts and almost Alice In Chains-y shadows...eccentric and unpredictable, in a way that feels totally natural.""<br>Pay What You Feel - all money goes to the artists.<br>Help us build a scene, and support a local venue.<br>Bands finish in time for you to get the last train/bus back to #saltaire, #shipley #leeds, #bradford, #keighley, #skipton<br>Music and conversation continues until close. ",2025-02-15,,,,,the_scaramanger_six.jpg,carol_hodge.jpg
"CRUMBS,Abandoned Buildings",Ryshworth Club,2025-10-17,19:30,Pay What You Feel,,https://www.facebook.com/events/638656995208087/,,"More live music on your Bingley Crossflatts doorstep .
Crumbs - A jangling guitar DIY post punk indie pop band
Abandoned Buildings - Leeds & Bradford DIY shoegaze, psych, post-rock influenced indie band with a love of FX pedals..

Rumble Up The Ryshworth is a series of gigs by independent artists with an alternative outlook. 
EVERY THIRD FRIDAY of the month, so save those dates. 
Pay What You Feel - all money goes to the artists.
Help us build a scene, and support a local venue.
Bands finish in time for you to get the last train/bus back to #saltaire, #shipley #leeds, #bradford, #keighley, #skipton

Music and conversation continues until close.",2025-02-19,,,,,crumbs.jpg,abandoned-buildings.jpg
Sounds In Town 3,Wilsden Trinity Church,2025-03-05,19:00 - 21:00,Free,,https://www.facebook.com/bingleymusictown/posts/pfbid0dkXyaAs7eRQ9Xe4mswDaiUbYocXCyb6a29LempxZhK1FzbHgwuwSNtD6zJ6F1pH3l,,"FREE public entry to this genre crossing 'open-mic with a difference' musical evening featuring a varied group of amateur local performers. Ten minute spots, FREE hot beverage refreshments with cake.",2024-10-04,,,,,,
Tiger Island,Ryshworth Club,2025-07-18,19:30,Pay What You Feel,,https://www.facebook.com/events/2521502128197639/,,"More live music on your Bingley Crossflatts doorstep.

Tiger Island - Dirty, dark garage rock like PJ Harvey Vs Hot Snakes. Leeds/Bradford.

Alpine Reserve - Grounding music from West Yorkshire

Rumble Up The Ryshworth is a series of gigs by independent artists with an alternative outlook. 
EVERY THIRD FRIDAY of the month, so save those dates. 
Pay What You Feel - all money goes to the artists.
Help us build a scene, and support a local venue.
Bands finish in time for you to get the last train/bus back to #saltaire, #shipley #leeds, #bradford, #keighley, #skipton

Music and conversation continues until close.",2025-03-26,,,,,tiger-island.jpg,
fig by four,Ryshworth Club,2025-12-19,19:30,Pay What You Feel,,,,"Rumble up the Ryshworth - a series of gigs by independent artists with an alternative outlook. EVERY THIRD FRIDAY of the month, so save those dates. Pay What You Feel - all money goes to the artists.",2025-02-25,,,,,fig-by-four.jpg,
Sounds of the 60's,Cottingley Town Hall Church,2025-03-08,14:30,Free,,https://www.facebook.com/permalink.php?story_fbid=pfbid031jnXmZKahZMDL1sZTith9P8mBRT73poFktvQwncYfAME52UAeNptFwM4233B6ZsZl&id=100080132804693,,Music and tasty treats to rasie money for the upkeep of the building. ,2025-03-06,,,,,,
Playing For Kicks,The New Inn,2025-03-08,20:30,Free,,https://www.facebook.com/events/565607579625894,,"We're really looking forward to our return to The New Inn, bringing a whole new set of pop classics, for a fab night. Dancing shoes are not obligatory...",2025-03-06,,,,,,
Eddie Earthquake and the Tremors,The Brown Cow,2025-03-08,21:00,Free,,https://www.facebook.com/events/1079774057000406,,"Authentic and energetic beat combo with great harmonies playing rock n roll and pop hits and obscurities from the 1950s and 60s, Eddie Earthquake and the Tremors are playing at The Brown Cow in Bingley.",2025-03-06,,,,,,
Mellon-Collies,Ryshworth Club,2025-09-19,19:30,Pay What You Feel,,,,"More live music on your Bingley Crossflatts doorstep.

Mellon-Collies - Fronted by powerhouse vocalist Keira, Mellon-Collies deliver razor-sharp lyrics, snarling guitars, and unfiltered attitude. Think X-Ray Spex meets Siouxsie Sioux, with a gritty Yorkshire bite and a sense of humour that hits just as hard as the riffs. Bonus: catch a special guitar appearance from Danny Sapko, Bradford’s BEHS YouTube legend.

Rumble Up The Ryshworth is a series of gigs by independent artists with an alternative outlook. 
EVERY THIRD FRIDAY of the month, so save those dates. 
Pay What You Feel - all money goes to the artists.
Help us build a scene, and support a local venue.
Bands finish in time for you to get the last train/bus back to #saltaire, #shipley #leeds, #bradford, #keighley, #skipton

Music and conversation continues until close.",2025-03-26,,,,,mellon-collies.jpg,
Thunder Monkeys,Mavericks,2025-03-28,21:00,Free,,https://www.facebook.com/thundermonkeysbradford/posts/pfbid0DWagBfdhEgsxdcJw2Ff9afhe5XojLyyR4RZgnKTkXn8nRRi78ApdSdxwLQCxjFbJl?locale=en_GB,,"Bradford's Permier rock covers band. Bringing you pop and rock classics from the 70s to present day by artists such as Queen, Adele, Guns 'n' Roses, Whitney Huston, Journey, Abba, Lady Gaga and more.",2025-03-28,,,,,,
Thunder Monkeys,Mavericks,2025-11-07,21:00,Free,,https://www.facebook.com/thundermonkeysbradford/posts/pfbid0DWagBfdhEgsxdcJw2Ff9afhe5XojLyyR4RZgnKTkXn8nRRi78ApdSdxwLQCxjFbJl?locale=en_GB,,"Bradford's Permier rock covers band. Bringing you pop and rock classics from the 70s to present day by artists such as Queen, Adele, Guns 'n' Roses, Whitney Huston, Journey, Abba, Lady Gaga and more.",2025-03-28,,,,,,
Thunder Monkeys,The Fleece Inn,2025-04-12,21:00,fREE,,https://www.facebook.com/thundermonkeysbradford/posts/pfbid0DWagBfdhEgsxdcJw2Ff9afhe5XojLyyR4RZgnKTkXn8nRRi78ApdSdxwLQCxjFbJl?locale=en_GB,,"Bradford's Permier rock covers band. Bringing you pop and rock classics from the 70s to present day by artists such as Queen, Adele, Guns 'n' Roses, Whitney Huston, Journey, Abba, Lady Gaga and more.",2025-03-28,,,,,,
Playing For Kicks,The Engine Room,2025-03-29,20:30,Free,,https://www.facebook.com/events/1849342055826486?locale=en_GB,,"Playing For Kicks are bringing our fab set of classic pop tunes to the Engine Room for the first time. Come and join us to sing, watch, dance and listen. It's always a great night!",2025-03-28,,,,,,
